Item,Sku,Warehouse,Client,Location,Type,Units,Active Item,Pickable,Sellable,Active Lot,Lot Name,Exp Date,Days to Expire,Creation Date
The Sweater Rib Simple Pant Oxbld S,2041033OxbldS,Primary,DONNI. HQ,35-01-L-07,Bin,10,yes,no,yes,,,,,2025-08-12 03:17:09
The Sweater Rib Simple Pant Oxbld M,2041033OxbldM,Primary,DONNI. HQ,35-01-L-06,Bin,10,yes,no,yes,,,,,2025-08-12 03:09:09
The Sweater Rib Simple Pant Oxbld S,2041033OxbldS,Primary,DONNI. HQ,35-01-L-05,Bin,7,yes,no,yes,,,,,2025-08-12 03:08:19
The Sweater Rib Simple Pant Oxbld XS,2041033OxbldXS,Primary,DONNI. HQ,35-01-L-02,Bin,4,yes,no,yes,,,,,2025-08-12 03:05:35
The Taffeta Split Top Jet M,1028049JetM,Primary,DONNI. HQ,24-02-B-11,Bin,14,yes,yes,yes,,,,,2025-08-12 00:38:42
The Stripe Eco-Terry Short Pst L,2024037PstL,Primary,DONNI. HQ,24-09-B-04X,Bin,3,yes,yes,yes,,,,,2025-08-12 00:35:40
The Rib Kick Flare Blpr S,2005015BlprS,Primary,DONNI. HQ,15-06-D-04,Bin,5,yes,yes,yes,,,,,2025-08-11 23:22:51
The Eco-Terry Crewneck Btr XL,1021037BtrXL,Primary,DONNI. HQ,15-09-C-11,Bin,4,yes,yes,yes,,,,,2025-08-11 23:21:51
The Sweater Rib Simple Pant Oxbld L,2041033OxbldL,Primary,DONNI. HQ,30-04-M-06,Bin,7,yes,no,yes,,,,,2025-08-09 02:20:34
The Sweater Rib Simple Pant Oxbld M,2041033OxbldM,Primary,DONNI. HQ,30-04-J-06,Bin,10,yes,no,yes,,,,,2025-08-09 02:18:12
The Sweater Rib Simple Pant Oxbld M,2041033OxbldM,Primary,DONNI. HQ,30-04-G-11,Bin,10,yes,no,yes,,,,,2025-08-09 02:17:09
The Jersey Tee Hgy S,1030043HgyS,Primary,DONNI. HQ,34-06-H-15,Bin,19,yes,no,yes,,,,,2025-08-09 01:57:23
The Sweater Rib Simple Pant Oxbld XS,2041033OxbldXS,Primary,DONNI. HQ,33-02-H-04X,Bin,10,yes,no,yes,,,,,2025-08-09 01:35:24
The Sweater Rib Simple Pant Oxbld L,2041033OxbldL,Primary,DONNI. HQ,34-02-G-05,Bin,4,yes,no,yes,,,,,2025-08-09 01:24:57
The Jersey Tee Hgy M,1030043HgyM,Primary,DONNI. HQ,34-05-D-06,Bin,2,yes,yes,yes,,,,,2025-08-08 23:56:20
The Eco-Terry Crewneck Cre M,1021037CreM,Primary,DONNI. HQ,33-05-D-06X,Bin,1,yes,no,yes,,,,,2025-08-08 23:50:05
The Eco-Terry Sweatpants Nav L,2004037NavL,Primary,DONNI. HQ,25-01-C-06,Bin,2,yes,yes,yes,,,,,2025-08-08 17:32:11
The Linen Simple Pant Cre XXL,2020018CreXXL,Primary,DONNI. HQ,11-02-13-09,Bin,2,yes,yes,yes,,,,,2025-08-08 16:59:12
The Baby Rib Turtleneck Nav S,1070029NavS,Primary,DONNI. HQ,22-04-A-05,Bin,12,yes,yes,yes,,,,,2025-08-07 20:26:41
The Baby Rib Turtleneck Esp XXS,1070029EspXXS,Primary,DONNI. HQ,14-05-C-10,Bin,1,yes,yes,yes,,,,,2025-08-07 20:16:18
The Baby Rib Turtleneck Oxbld XS,1070029OxbldXS,Primary,DONNI. HQ,22-04-B-10X,Bin,6,yes,yes,yes,,,,,2025-08-07 20:11:45
The Rib Kick Flare Hgy M,2005015HgyM,Primary,DONNI. HQ,23-07-B-11X,Bin,1,yes,yes,yes,,,,,2025-08-07 19:30:30
WHOLESALE STICKERS,WHOLESALESTI,Primary,DONNI. HQ,X5-11-B-07,Bin,1,yes,yes,yes,,,,,2025-08-07 19:19:05
The Baby Rib Turtleneck Nav XXL,1070029NavXXL,Primary,DONNI. HQ,35-05-G-13,Bin,1,yes,no,yes,,,,,2025-08-07 19:15:30
The Baby Rib Turtleneck Jet XL,1070029JetXL,Primary,DONNI. HQ,35-05-G-11,Bin,3,yes,no,yes,,,,,2025-08-07 19:14:17
The Sweater Rib Simple Pant Nav L,2041033NavL,Primary,DONNI. HQ,35-04-G-10,Bin,6,yes,no,yes,,,,,2025-08-07 19:10:37
The Baby Rib Turtleneck Jet XS,1070029JetXS,Primary,DONNI. HQ,Y8-03-A-03,Bin,5,yes,yes,yes,,,,,2025-08-07 19:00:13
The Baby Rib Turtleneck Oxbld XXL,1070029OxbldXXL,Primary,DONNI. HQ,35-04-G-09,Bin,1,yes,no,yes,,,,,2025-08-07 18:48:56
The Baby Rib Turtleneck Jet XXS,1070029JetXXS,Primary,DONNI. HQ,35-04-D-02,Bin,3,yes,yes,yes,,,,,2025-08-07 18:46:20
The Baby Rib Turtleneck Nav XXS,1070029NavXXS,Primary,DONNI. HQ,35-04-D-01,Bin,2,yes,yes,yes,,,,,2025-08-07 18:45:39
The Baby Rib Turtleneck Nav XS,1070029NavXS,Primary,DONNI. HQ,X5-22-D-01,Bin,8,yes,yes,yes,,,,,2025-08-07 18:36:06
The Baby Rib Turtleneck Nav M,1070029NavM,Primary,DONNI. HQ,X5-22-D-03,Bin,11,yes,yes,yes,,,,,2025-08-07 18:35:24
The Eco-Terry Crewneck Oxbld M,1021037OxbldM,Primary,DONNI. HQ,35-03-I-05,Bin,1,yes,no,yes,,,,,2025-08-07 18:23:44
The Linen Stripe Crop Racer Pant Blpr XXL,2048018BlprXXL,Primary,DONNI. HQ,35-03-I-04,Bin,3,yes,no,yes,,,,,2025-08-07 18:22:52
The Linen Simple Pant Nav XL,2020018NavXL,Primary,DONNI. HQ,34-03-C-04,Bin,4,yes,yes,yes,,,,,2025-08-07 18:22:50
The Jersey Relaxed V-Neck Cre M,1042043CreM,Primary,DONNI. HQ,10-05-11-05,Bin,2,yes,yes,yes,,,,,2025-08-07 17:18:27
The Rib Kick Flare Cgy M,2005015CgyM,Primary,DONNI. HQ,30-05-H-01,Bin,4,yes,no,yes,,,,,2025-08-07 01:35:32
The Rib Kick Flare Cgy S,2005015CgyS,Primary,DONNI. HQ,30-04-I-04,Bin,2,yes,no,yes,,,,,2025-08-07 01:32:31
The Sweater Rib Simple Pant Oxbld S,2041033OxbldS,Primary,DONNI. HQ,35-02-J-04,Bin,10,yes,no,yes,,,,,2025-08-07 01:28:46
The Rib Kick Flare Cgy XS,2005015CgyXS,Primary,DONNI. HQ,35-02-J-01,Bin,3,yes,no,yes,,,,,2025-08-07 01:27:13
The Baby Rib Scallop Tank Pow XS,1059029PowXS,Primary,DONNI. HQ,Y8-03-D-01,Bin,26,yes,yes,yes,,,,,2025-08-07 01:25:04
The Sweater Rib Simple Pant Nav M,2041033NavM,Primary,DONNI. HQ,33-04-L-08X,Bin,5,yes,no,yes,,,,,2025-08-07 01:17:35
The Baby Rib Scallop Long Sleeve Hgy M,1039029HgyM,Primary,DONNI. HQ,35-06-H-04,Bin,13,yes,no,yes,,,,,2025-08-07 01:03:47
The Baby Rib Turtleneck Jet S,1070029JetS,Primary,DONNI. HQ,34-04-H-14,Bin,7,yes,no,yes,,,,,2025-08-07 00:32:51
The Silk Lace Simple Pant Nav L,2019056NavL,Primary,DONNI. HQ,23-08-C-02,Bin,1,yes,yes,yes,,,,,2025-08-07 00:23:46
The Stripe Eco-Terry Short Pst XXS,2024037PstXXS,Primary,DONNI. HQ,35-06-G-08,Bin,1,yes,no,yes,,,,,2025-08-07 00:23:24
The Sweater Rib Simple Pant Oxbld S,2041033OxbldS,Primary,DONNI. HQ,34-06-K-01,Bin,10,yes,no,yes,,,,,2025-08-07 00:08:18
The Baby Rib Turtleneck Jet XXL,1070029JetXXL,Primary,DONNI. HQ,34-05-K-08,Bin,1,yes,no,yes,,,,,2025-08-07 00:06:29
The Linen Stripe Crop Racer Pant Jet XXL,2048018JetXXL,Primary,DONNI. HQ,35-06-B-05,Bin,4,yes,yes,yes,,,,,2025-08-07 00:03:11
The Sweater Rib Simple Pant Nav L,2041033NavL,Primary,DONNI. HQ,24-10-H-06,Bin,6,yes,no,yes,,,,,2025-08-07 00:02:44
The Chino Barrel Pant Cre 2,2066084Cre2,Primary,DONNI. HQ,34-08-K-09,Bin,1,yes,no,yes,,,,,2025-08-06 22:35:51
The Chino Barrel Pant Khaki 6,2066084Khaki6,Primary,DONNI. HQ,34-08-K-08,Bin,15,yes,no,yes,,,,,2025-08-06 22:35:10
The Chino Barrel Pant Khaki 2,2066084Khaki2,Primary,DONNI. HQ,34-08-I-05,Bin,5,yes,no,yes,,,,,2025-08-06 22:34:30
The Chino Barrel Pant Nav 10,2066084Nav10,Primary,DONNI. HQ,34-07-H-15,Bin,1,yes,no,yes,,,,,2025-08-06 22:33:08
The Chino Barrel Pant Nav 12,2066084Nav12,Primary,DONNI. HQ,34-05-F-07,Bin,1,yes,no,yes,,,,,2025-08-06 22:32:07
The Chino Barrel Pant Khaki 12,2066084Khaki12,Primary,DONNI. HQ,34-02-L-02,Bin,2,yes,no,yes,,,,,2025-08-06 22:26:22
The Chino Barrel Pant Cre 8,2066084Cre8,Primary,DONNI. HQ,29-01-I-01X,Bin,2,yes,no,yes,,,,,2025-08-06 22:25:18
